Volcano_Type,Volcano_Name,Volcanic_Explosivity_Index,Elevation,Status,Deaths,Total_Deaths,Country,Coordinates,Year,Month,Day,Flag_Tsunami,Flag_Earthquake
Shield volcano,Santorini,3,329,Historical,0,0,Greece,"36.404, 25.396",46,0,0,TRUE,FALSE
Pyroclastic shield,Ambrym,6,1334,Historical,0,0,Vanuatu,"-16.25, 168.12",50,0,0,FALSE,FALSE
Stratovolcano,Bona-Churchill,6,5005,Radiocarbon,0,0,United States,"61.38, -141.75",60,0,0,FALSE,FALSE
Complex volcano,Vesuvius,5,1281,Historical,2100,2100,Italy,"40.821, 14.426",79,8,25,TRUE,TRUE
Volcanic field,"Arhab, Harra of",0,3100,Historical,0,0,Yemen,"15.63, 44.08",200,0,0,FALSE,FALSE
Caldera,Taupo,6,760,Radiocarbon,0,0,New Zealand,"-38.82, 176.0",230,0,0,FALSE,FALSE
Stratovolcano,Ksudach,6,1079,Historical,0,0,Russia,"51.8, 157.53",240,0,0,FALSE,FALSE
Lava dome,Augustine,0,1252,Historical,0,0,United States,"59.37, -153.42",350,0,0,FALSE,FALSE
Caldera,Krakatau,0,813,Historical,0,0,Indonesia,"-6.102, 105.423",416,0,0,TRUE,FALSE
Caldera,Ilopango,6,450,Historical,30000,30000,El Salvador,"13.672, -89.053",450,0,0,FALSE,FALSE
Volcanic field,"Arhab, Harra of",0,3100,Historical,0,0,Yemen,"15.63, 44.08",500,0,0,FALSE,FALSE
Stratovolcano,San Salvador,0,1893,Historical,0,0,El Salvador,"13.736, -89.286",590,0,0,FALSE,FALSE
Volcanic field,"Uwayrid, Harrat",2,1900,Anthropology,0,0,Saudi Arabia,"27.08, 37.25",640,0,0,FALSE,FALSE
Caldera,Dakataua,6,400,Anthropology,0,0,Papua New Guinea,"-5.056, 150.108",653,0,0,FALSE,FALSE
Pyroclastic shield,Rabaul,6,688,Historical,0,0,Papua New Guinea,"-4.271, 152.203",683,0,0,FALSE,FALSE
Caldera,Pago,6,742,Historical,0,0,Papua New Guinea,"-5.58, 150.52",710,0,0,FALSE,FALSE
Stratovolcano,Sakura-jima,4,1117,Historical,80,80,Japan,"31.58, 130.67",764,0,0,FALSE,FALSE
Stratovolcano,Sakura-jima,3,1117,Historical,0,0,Japan,"31.58, 130.67",766,7,20,TRUE,TRUE
Complex volcano,Vesuvius,3,1281,Historical,0,0,Italy,"40.821, 14.426",787,0,0,FALSE,FALSE
Stratovolcano,Bona-Churchill,6,5005,Radiocarbon,0,0,United States,"61.38, -141.75",847,0,0,FALSE,FALSE
Subglacial volcano,Katla,4,1512,Historical,0,0,Iceland,"63.63, -19.05",920,0,0,FALSE,FALSE
Stratovolcano,Ceboruco,6,2280,Historical,0,0,Mexico,"21.125, -104.508",930,0,0,FALSE,FALSE
Subglacial volcano,Katla,4,1512,Historical,0,0,Iceland,"63.63, -19.05",934,0,0,FALSE,FALSE
Subglacial volcano,Katla,0,1512,Historical,0,0,Iceland,"63.63, -19.05",950,0,0,FALSE,FALSE
